Mat.Grp,Main.Mat.Grp,Description
01-004,1,Indeterminate Cherry Tomato
01-006,1,Indeterminate Heirloom Tomato
01-007,1,Determinate Round Tomato
01-008,1,Indeterminate Cluster Tomato
01-009,1,Indeterminate Beef Tomato
01-010,1,Indeterminate Pink Tomato
01-011,1,Indeterminate Saladette Tomato
01-013,1,Indeterminate Round Tomato
01-014,1,Indeterminate Open Field Tomato
01-015,1,Ind. Cocktail Oval Tomato
01-016,1,Ind. Cocktail Round Tomato
01-017,1,Indeterminate Miniplum Tomato
01-018,1,Determinate Beef Tomato
01-019,1,Determinate Saladette Tomato
01-020,1,Determinate Cherry Tomato
02-001,2,Sivri Pepper
02-002,2,Thin Sivri Pepper
02-003,2,Charleston Pepper
02-004,2,Ucburun Pepper
02-005,2,Dolma Pepper
02-006,2,Blocky Pepper
02-007,2,Hungarian Pepper
02-008,2,Kapia Pepper
02-009,2,Jalapeno Pepper
02-010,2,Italian Pepper
02-011,2,Lamuyo Pepper
02-012,2,Mini Snack Pepper
02-013,2,Chili Pepper
03-001,3,Cylindrical Eggplant
03-002,3,Half Oval Eggplant
03-003,3,Round Eggplant
04-001,4,Dutch Cucumber
04-002,4,Pickle Cucumber
04-003,4,Gherkin Cucumber
04-004,4,Baby Cucumber
04-005,4,Beit Alpha Cucumber
04-007,4,Slicer Cucumber
04-008,4,Chineese Cucumber
05-001,5,Piel De Sapo Melon
05-002,5,Charentais Melon
05-003,5,Canary Melon
05-004,5,Galia Melon
05-005,5,Ananas Melon
05-006,5,Cantaloupe Melon
05-007,5,Kirkagac Melon
05-008,5,Samsori Melon
05-009,5,Western Shipping Melon
05-010,5,Eastern Shipping Melon
05-011,5,Honeydew Melon
05-012,5,Asian Melon
05-013,5,Harper
05-014,5,Dalmation
06-001,6,Crimson Sweet Watermelon
06-002,6,Sugar Baby Watermelon
06-003,6,Charleston Gray Watermelon
06-004,6,Personal Size Watermelon
06-005,6,Yellow Skin
07-001,7,Flat Bean
08-001,8,Broccoli
09-001,9,Curly Lettuce
09-002,9,Romaine Lettuce
09-003,9,Iceberg Lettuce
10-001,10,Cylindrical Squash
10-002,10,Round Squash
11-001,11,Bitter Gourd
12-001,12,Tomato Rootstock
12-002,12,Squash
12-003,12,Eggplant Rootstock
12-004,12,Squash Rootstock 
13-001,13,Onion
13-002,13,Yellow
13-003,13,Red
13-004,13,White
14-001,14,Yellow Pototo
14-002,14,White Pototo
14-003,14,Red Pototo
15-001,15,Cauliflower
16-001,16,Eggplant Rootstock
17-001,17,Flat Cabbage
17-002,17,Round Cabbage
19-001,19,Cylindrical Carrot
20-001,20,Sweet Corn
20-002,20,Super Sweet Corn (Sh2)
20-003,20,Silage
20-004,20,Grain
21-001,21,Sweet Corn
